GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,0,92,0,13,0,19,0,9,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,19,237,3,8,5,63,3,10,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,16,56,4,2,9,18,5,3,1,3
parking-system,com.parkit.parkingsystem,App,2,10,0,0,2,3,0,3,0,3
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,34,0,0,0,2,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,8,46,2,2,3,14,2,4,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,27,182,2,2,8,43,2,5,0,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,71,145,7,5,20,38,7,5,1,5
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,33,27,3,3,12,13,3,6,0,6
